Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
LearningBrain,1.059,13.460,10.543,10016,0.013
LearningBrain,1.076,25.124,9.558,10001,0.014
LearningBrain,1.140,37.130,9.782,10011,0.013
LearningBrain,1.081,48.961,9.697,10028,0.012
LearningBrain,1.025,60.196,9.224,10044,0.013
LearningBrain,1.044,71.406,9.191,10017,0.014
LearningBrain,1.016,89.650,15.913,10010,0.017
LearningBrain,1.049,108.157,16.162,10017,0.024
LearningBrain,1.067,124.047,13.572,10007,0.032
LearningBrain,1.034,139.458,13.161,10015,0.041
LearningBrain,1.031,158.567,16.761,10004,0.054
LearningBrain,0.976,177.727,16.870,10002,0.068
LearningBrain,1.057,197.391,17.249,10063,0.085
LearningBrain,1.007,216.497,16.803,10001,0.103
LearningBrain,1.018,234.127,15.360,10015,0.123
LearningBrain,1.142,249.236,12.774,10002,0.140
LearningBrain,1.055,267.825,16.132,10023,0.159
LearningBrain,1.011,286.696,16.578,10009,0.180
LearningBrain,1.084,305.241,16.180,10010,0.198
LearningBrain,1.081,323.345,15.796,10001,0.217
LearningBrain,1.021,341.148,15.551,10020,0.234
LearningBrain,1.026,358.708,15.257,10073,0.251
LearningBrain,1.036,376.932,15.961,10003,0.267
LearningBrain,1.109,394.276,15.004,10020,0.283
LearningBrain,1.081,410.997,14.445,10004,0.298
LearningBrain,1.108,428.078,14.779,10041,0.313
LearningBrain,1.050,444.952,14.639,10024,0.327
LearningBrain,1.029,462.875,15.662,10031,0.341
LearningBrain,1.073,480.073,14.923,10021,0.354
LearningBrain,1.115,497.643,15.256,10022,0.367
LearningBrain,1.018,514.136,14.302,10009,0.379
LearningBrain,1.040,531.290,14.918,10028,0.391
LearningBrain,1.128,548.015,14.402,10020,0.402
LearningBrain,1.086,565.273,14.952,10022,0.414
LearningBrain,1.089,582.769,15.200,10004,0.426
LearningBrain,1.122,599.568,14.473,10002,0.438
LearningBrain,1.036,617.013,15.205,10007,0.449
LearningBrain,1.104,635.145,15.652,10017,0.460
LearningBrain,1.089,652.919,15.452,10028,0.471
LearningBrain,1.147,669.717,14.430,10012,0.480
LearningBrain,1.167,686.643,14.547,10006,0.491
LearningBrain,1.133,704.065,15.080,10003,0.500
LearningBrain,1.075,721.828,15.483,10028,0.509
LearningBrain,1.102,739.483,15.345,10003,0.517
LearningBrain,1.057,756.778,15.039,10026,0.525
LearningBrain,1.024,774.239,15.221,10026,0.534
LearningBrain,1.153,792.545,15.941,10018,0.542
LearningBrain,1.072,810.513,15.685,10016,0.549
LearningBrain,1.092,828.266,15.443,10004,0.557
LearningBrain,1.138,845.540,14.919,10012,0.565
LearningBrain,1.042,862.453,14.645,10013,0.572
LearningBrain,1.082,880.414,15.644,10013,0.579
LearningBrain,1.087,897.870,15.171,10015,0.587
LearningBrain,1.067,914.740,14.594,10013,0.594
LearningBrain,1.116,931.821,14.756,10004,0.600
LearningBrain,1.115,948.986,14.859,10004,0.606
LearningBrain,1.071,965.983,14.717,10004,0.613
LearningBrain,1.063,983.229,14.960,10019,0.618
LearningBrain,1.105,999.823,14.278,10005,0.624
LearningBrain,1.066,1017.490,15.372,10024,0.630
LearningBrain,1.157,1035.024,15.126,10002,0.635
LearningBrain,1.152,1052.162,14.757,10021,0.640
LearningBrain,1.123,1069.867,15.350,10017,0.646
LearningBrain,1.124,1087.017,14.796,10015,0.651
LearningBrain,1.081,1104.691,15.379,10008,0.656
LearningBrain,1.022,1122.902,15.966,10004,0.661
LearningBrain,1.086,1141.816,16.567,10043,0.666
LearningBrain,1.012,1160.050,15.992,10028,0.671
LearningBrain,1.011,1178.083,15.817,10007,0.675
LearningBrain,1.059,1196.196,15.825,10025,0.679
LearningBrain,1.057,1213.859,15.389,10015,0.683
LearningBrain,1.094,1231.608,15.448,10003,0.688
LearningBrain,1.040,1248.565,14.678,10003,0.692
LearningBrain,1.055,1266.564,15.752,10015,0.696
LearningBrain,1.079,1284.479,15.519,10001,0.699
LearningBrain,1.062,1302.136,15.406,10016,0.703
LearningBrain,1.038,1319.525,15.147,10031,0.707
LearningBrain,1.261,1337.298,15.328,10013,0.710
LearningBrain,1.099,1353.929,14.338,10006,0.714
LearningBrain,1.101,1371.701,15.510,10001,0.717
LearningBrain,1.108,1389.386,15.421,10008,0.720
LearningBrain,1.143,1407.056,15.337,10001,0.724
LearningBrain,1.091,1423.836,14.435,10003,0.727
LearningBrain,1.024,1441.970,15.947,10008,0.730
LearningBrain,1.269,1460.109,15.628,10027,0.733
LearningBrain,1.103,1477.426,15.023,10006,0.736
LearningBrain,1.132,1495.109,15.401,10004,0.739
LearningBrain,1.111,1512.828,15.444,10022,0.742
LearningBrain,1.257,1530.554,15.280,10011,0.744
LearningBrain,1.052,1548.609,15.834,10019,0.747
LearningBrain,1.103,1565.660,14.749,10023,0.750
LearningBrain,1.137,1583.182,15.212,10004,0.752
LearningBrain,1.107,1600.611,15.168,10029,0.755
LearningBrain,1.190,1617.706,14.656,10014,0.757
LearningBrain,1.098,1635.222,15.225,10020,0.760
LearningBrain,1.126,1652.778,15.236,10006,0.762
LearningBrain,1.123,1670.410,15.350,10010,0.764
LearningBrain,1.068,1687.221,14.499,10010,0.766
LearningBrain,1.095,1704.527,15.015,10028,0.769
LearningBrain,1.149,1721.360,14.480,10004,0.771
LearningBrain,1.236,1738.961,15.147,10020,0.773
LearningBrain,1.156,1756.506,15.206,10032,0.775
LearningBrain,1.094,1773.639,14.739,10005,0.777
LearningBrain,1.023,1790.750,14.820,10007,0.779
LearningBrain,1.128,1807.897,14.768,10009,0.781
LearningBrain,1.089,1825.167,15.022,10005,0.782
LearningBrain,1.076,1841.493,14.061,10005,0.784
LearningBrain,1.182,1858.436,14.461,10002,0.786
LearningBrain,1.097,1875.719,15.016,10013,0.788
LearningBrain,1.167,1892.614,14.492,10013,0.790
LearningBrain,1.062,1910.503,15.611,10020,0.791
LearningBrain,1.094,1927.958,15.022,10018,0.793
LearningBrain,1.015,1946.319,16.139,10013,0.794
LearningBrain,1.061,1962.998,14.453,10011,0.796
LearningBrain,1.147,1981.267,15.936,10006,0.798
LearningBrain,1.023,1998.674,15.151,10011,0.799
LearningBrain,1.078,2016.731,15.742,10014,0.801
LearningBrain,1.071,2033.757,14.707,10002,0.802
LearningBrain,1.024,2052.160,16.186,10009,0.804
LearningBrain,1.029,2070.668,16.289,10004,0.805
LearningBrain,1.005,2089.371,16.502,10011,0.806
LearningBrain,1.081,2107.298,15.649,10010,0.808
LearningBrain,1.088,2126.144,16.539,10003,0.809
LearningBrain,1.021,2145.090,16.715,10017,0.811
LearningBrain,1.028,2163.890,16.561,10003,0.812
LearningBrain,1.023,2182.840,16.694,10005,0.813
LearningBrain,1.091,2200.645,15.493,10004,0.814
LearningBrain,1.103,2218.162,15.220,10008,0.816
LearningBrain,1.107,2236.650,16.152,10022,0.817
LearningBrain,1.067,2254.082,15.122,10011,0.818
LearningBrain,1.069,2272.676,16.315,10015,0.819
LearningBrain,1.039,2290.954,16.011,10003,0.821
LearningBrain,1.023,2308.005,14.835,10020,0.822
LearningBrain,1.021,2326.283,16.076,10021,0.823
LearningBrain,1.047,2345.346,16.808,10004,0.824
LearningBrain,1.051,2363.219,15.599,10002,0.825
LearningBrain,1.014,2381.139,15.701,10012,0.826
LearningBrain,1.022,2399.587,16.215,10012,0.827
LearningBrain,1.098,2418.224,16.337,10010,0.828
LearningBrain,1.169,2432.649,12.074,10002,0.829
LearningBrain,1.058,2447.105,12.244,10005,0.830
LearningBrain,1.061,2465.511,16.124,10010,0.831
LearningBrain,1.049,2484.132,16.383,10009,0.832
LearningBrain,1.034,2502.719,16.361,10016,0.833
LearningBrain,1.044,2521.527,16.551,10004,0.834
LearningBrain,1.047,2540.210,16.438,10021,0.835
LearningBrain,1.027,2559.069,16.630,10006,0.836
LearningBrain,1.026,2577.862,16.455,10002,0.837
LearningBrain,1.042,2596.636,16.511,10020,0.838
LearningBrain,1.037,2615.522,16.630,10005,0.839
LearningBrain,1.010,2634.793,17.025,10031,0.840
LearningBrain,1.072,2652.947,15.889,10030,0.840
LearningBrain,1.120,2671.300,16.005,10003,0.841
LearningBrain,1.228,2689.111,15.282,10013,0.842
LearningBrain,1.060,2706.572,15.146,10030,0.843
LearningBrain,1.023,2725.546,16.720,10004,0.844
LearningBrain,1.043,2742.930,15.125,10011,0.845
LearningBrain,1.097,2761.103,15.858,10009,0.846
LearningBrain,1.065,2778.469,15.110,10016,0.846
LearningBrain,1.049,2797.067,16.367,10004,0.847
LearningBrain,1.175,2814.245,14.782,10017,0.848
LearningBrain,1.061,2831.097,14.522,10002,0.849
LearningBrain,1.202,2848.639,15.145,10003,0.849
LearningBrain,1.136,2866.285,15.275,10006,0.850
LearningBrain,1.083,2883.845,15.267,10022,0.851
LearningBrain,1.041,2902.688,16.603,10010,0.851
LearningBrain,1.100,2921.386,16.386,10017,0.852
LearningBrain,1.105,2938.898,15.169,10004,0.853
LearningBrain,1.130,2957.462,16.225,10001,0.853
LearningBrain,1.068,2975.212,15.432,10004,0.854
LearningBrain,1.038,2993.417,15.991,10017,0.855
LearningBrain,1.102,3011.662,15.967,10004,0.855
LearningBrain,1.205,3029.368,15.307,10003,0.856
LearningBrain,1.042,3047.970,16.344,10003,0.857
LearningBrain,1.062,3065.961,15.730,10004,0.857
LearningBrain,1.056,3084.075,15.825,10001,0.858
LearningBrain,1.131,3101.429,15.000,10013,0.858
LearningBrain,1.110,3119.484,15.743,10005,0.859
LearningBrain,1.104,3137.200,15.383,10015,0.860
LearningBrain,1.107,3154.689,15.157,10012,0.860
LearningBrain,1.107,3172.131,15.147,10003,0.861
LearningBrain,1.224,3189.819,15.245,10008,0.861
LearningBrain,1.073,3207.436,15.317,10003,0.862
LearningBrain,1.064,3224.991,15.320,10005,0.863
LearningBrain,1.137,3242.744,15.321,10012,0.863
LearningBrain,1.039,3260.216,15.231,10007,0.864
LearningBrain,1.098,3277.721,15.195,10005,0.864
LearningBrain,1.094,3296.576,16.563,10029,0.865
LearningBrain,1.043,3315.004,16.177,10002,0.866
LearningBrain,1.075,3333.226,15.960,10017,0.866
LearningBrain,1.023,3351.770,16.313,10003,0.867
LearningBrain,1.044,3370.840,16.819,10008,0.867
LearningBrain,1.068,3389.771,16.673,10018,0.868
LearningBrain,1.081,3407.646,15.607,10001,0.868
LearningBrain,1.051,3426.654,16.729,10002,0.869
LearningBrain,1.055,3445.818,16.891,10002,0.869
LearningBrain,1.070,3464.548,16.486,10016,0.870
LearningBrain,1.198,3481.358,14.390,10002,0.870
LearningBrain,1.101,3497.805,14.160,10007,0.871
LearningBrain,1.089,3515.354,15.226,10001,0.871
LearningBrain,1.100,3533.156,15.534,10007,0.872
LearningBrain,1.068,3550.285,14.833,10005,0.872
LearningBrain,1.096,3568.506,15.926,10007,0.873
LearningBrain,1.084,3586.057,15.261,10012,0.873
LearningBrain,1.052,3604.303,15.990,10015,0.874
LearningBrain,1.048,3623.099,16.578,10006,0.874
LearningBrain,1.095,3641.686,16.302,10010,0.875
LearningBrain,1.078,3659.871,15.891,10020,0.875
LearningBrain,1.093,3678.202,16.047,10002,0.875
LearningBrain,1.034,3696.727,16.300,10006,0.876
LearningBrain,1.060,3714.258,15.278,10002,0.876
LearningBrain,1.039,3732.169,15.685,10008,0.877
LearningBrain,1.069,3749.688,15.245,10008,0.877
LearningBrain,1.075,3767.102,15.100,10044,0.878
LearningBrain,1.165,3784.358,14.796,10018,0.878
LearningBrain,1.169,3802.896,16.129,10011,0.879
LearningBrain,1.101,3821.154,15.952,10009,0.879
LearningBrain,1.112,3838.448,14.929,10003,0.879
LearningBrain,1.149,3855.805,15.011,10006,0.880
LearningBrain,1.176,3872.864,14.601,10010,0.880
LearningBrain,1.144,3890.780,15.501,10001,0.881
